timestamp_entry_ISO,timestamp_intended_ISO,operator,source,north_basin_1_MGD,north_basin_3_MGD,north_basin_5_MGD,north_basin_7_MGD,north_basin_9_MGD,north_basin_11_MGD,north_basin_13_MGD,south_basin_1_MGD,south_basin_3_MGD,south_basin_5_MGD,south_basin_7_MGD,south_basin_9_MGD,south_basin_11_MGD,south_basin_13_MGD,north_clarifier_1_MGD,north_clarifier_2_MGD,north_clarifier_3_MGD,north_clarifier_4_MGD,south_clarifier_1_MGD,south_clarifier_2_MGD,south_clarifier_3_MGD,south_clarifier_4_MGD,north_ras_1_MGD,north_ras_2_MGD,north_ras_3_MGD,north_ras_4_MGD,south_ras_1_MGD,south_ras_2_MGD,south_ras_3_MGD,south_ras_4_MGD
2025-03-12T13:21:31,2025-03-12T13:21:31,CB,local-shell-Python-cmd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12T19:12:00,2025-03-12T19:12:00,CB,local-shell-Python-cmd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12T19:35:31,2025-03-12T19:35:31,CB,local-shell-Python-cmd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp_entry_ISO,timestamp_intended_ISO,north_basin_1_MGD,north_basin_3_MGD,north_basin_5_MGD,north_basin_7_MGD,north_basin_9_MGD,north_basin_11_MGD,north_basin_13_MGD,south_basin_1_MGD,south_basin_3_MGD,south_basin_5_MGD,south_basin_7_MGD,south_basin_9_MGD,south_basin_11_MGD,south_basin_13_MGD,north_clarifier_1_MGD,north_clarifier_2_MGD,north_clarifier_3_MGD,north_clarifier_4_MGD,south_clarifier_1_MGD,south_clarifier_2_MGD,south_clarifier_3_MGD,south_clarifier_4_MGD,north_ras_1_MGD,north_ras_2_MGD,north_ras_3_MGD,north_ras_4_MGD,south_ras_1_MGD,south_ras_2_MGD,south_ras_3_MGD,south_ras_4_MGD,operator,source
2025-03-12T19:38:18,2025-03-12T19:38:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,web-post-Python-FastAPI
2025-03-12T21:50:12,2025-03-12T21:49:46,Clayton Bennett,web-post-Python-FastAPI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,11.0,1.0,1.0
2025-03-12T21:59:20,2025-03-12T21:59:20,CB,web-post-Python-FastAPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13T08:21:01,2025-03-13T08:21:01,CB,local-shell-Python-cmd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13T08:22:27,2025-03-13T08:22:27,CB,local-shell-Python-cmd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13T08:23:38,2025-03-13T08:23:38,CB,local-shell-Python-cmd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13T08:32:47,2025-03-13T08:32:47,CB,local-shell-Python-cmd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13T08:34:09,2025-03-13T08:34:09,CB,local-shell-Python-cmd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13T11:36:26,2025-03-13T11:36:10,CB,local-gui-Python-FreeSimpleGUI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.0,1.0,1.0,1.0,1.0,1.0,11.0
2025-03-13T12:31:59,2025-03-13T12:31:55,Clayton Bennett,local-gui-Python-FreeSimpleGUI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T12:32:14,2025-03-13T12:31:55,Clayton Bennett,local-gui-Python-FreeSimpleGUI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T12:32:27,2025-03-13T12:31:55,Clayton Bennett,local-gui-Python-FreeSimpleGUI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T12:32:34,2025-03-13T12:31:55,Clayton Bennett,local-gui-Python-FreeSimpleGUI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T12:41:49,2025-03-13T12:41:38,Clayton Bennett,local-gui-Python-FreeSimpleGUI,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T12:43:27,2025-03-13T12:43:25,Clayton Bennett,local-gui-Python-FreeSimpleGUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T13:05:12,2025-03-13T12:41:38,Clayton Bennett,local-gui-Python-FreeSimpleGUI,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T13:11:40,2025-03-13T13:11:39,Clayton Bennett,local-gui-Python-FreeSimpleGUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T13:14:05,2025-03-13T13:13:55,Clayton Bennett,local-gui-Python-FreeSimpleGUI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T14:39:06,2025-03-13T14:38:00,CB,local-gui-Python-FreeSimpleGUI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T14:39:21,,CB,local-gui-Python-FreeSimpleGUI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T14:39:36,2025-03-13T14:00:00,CB,local-gui-Python-FreeSimpleGUI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13T14:40:28,,CB,local-gui-Python-FreeSimpleGUI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
